,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
95,96,           Rajat Bhatia DC   ,24,5,3,0,21,8,17,141.17,0,0,1,2,2010
96,97,           Zaheer Khan MI   ,24,14,4,3,23*,24,13,184.61,0,0,3,1,2010
97,98,           Ashish Nehra DC   ,23,4,2,1,22*,23,20,115,0,0,2,1,2010
98,99,           Dwayne Smith DEC   ,22,3,3,1,13*,11,25,88,0,0,1,1,2010
99,100,           Murali Kartik KKR   ,22,10,2,0,21,11,22,100,0,0,2,0,2010
100,101,           Aaron Finch RR   ,21,1,1,0,21,21,21,100,0,0,0,1,2010
101,102,           Siddharth Trivedi RR   ,20,11,4,2,9,10,14,142.85,0,0,3,1,2010
102,103,           Damien Martyn RR   ,19,1,1,0,19,19,24,79.16,0,0,1,0,2010
103,104,           George Bailey CSK   ,18,1,1,0,18,18,27,66.66,0,0,2,0,2010
104,105,           Karan Goel PBKS   ,18,6,2,1,17*,18,20,90,0,0,1,1,2010
105,106,           Lakshmipathy Balaji CSK   ,18,7,3,1,15,9,20,90,0,0,1,1,2010
106,107,           Doug Bollinger CSK   ,18,8,2,2,16*,0,17,105.88,0,0,1,1,2010
107,108,           Chandan Madan MI   ,15,1,1,0,15,15,19,78.94,0,0,3,0,2010
108,109,           Sumit Narwal RR   ,14,5,3,1,12,7,12,116.66,0,0,2,0,2010
109,110,           Mark Boucher RCB   ,13,5,2,1,11*,13,10,130,0,0,0,1,2010
110,111,           Dale Steyn RCB   ,13,15,4,0,8,3.25,17,76.47,0,0,2,0,2010
111,112,           Dimitri Mascarenhas RR   ,12,2,2,1,9*,12,10,120,0,0,0,0,2010
112,113,           Shaun Tait RR   ,12,8,2,1,11,12,13,92.3,0,0,0,1,2010
113,114,           Moises Henriques DC   ,11,1,1,0,11,11,5,220,0,0,2,0,2010
114,115,           Brett Lee PBKS   ,11,4,3,2,7*,11,9,122.22,0,0,1,0,2010
115,116,           Kemar Roach DEC   ,10,2,1,0,10,10,9,111.11,0,0,1,0,2010
116,117,           Thilan Thushara CSK   ,10,4,2,1,8,10,11,90.9,0,0,0,0,2010
117,118,           Pradeep Sangwan DC   ,10,8,2,1,6*,10,14,71.42,0,0,0,0,2010
118,119,           Shane Warne RR   ,10,14,7,2,4,2,19,52.63,0,0,0,0,2010
119,120,           Morne Morkel RR   ,9,2,2,1,7*,9,16,56.25,0,0,1,0,2010
120,121,           Bipul Sharma PBKS   ,9,5,2,2,8*,0,7,128.57,0,0,1,0,2010
121,122,           RP Singh DEC   ,9,12,5,3,4*,4.5,19,47.36,0,0,0,0,2010
122,123,           Shreevats Goswami RCB   ,8,1,1,0,8,8,10,80,0,0,2,0,2010
123,124,           Stuart Binny MI   ,8,1,1,0,8,8,5,160,0,0,1,0,2010
124,125,           Jaskaran Singh DEC   ,8,6,4,3,4*,8,11,72.72,0,0,0,0,2010
125,126,           Vikramjeet Malik PBKS   ,6,3,1,0,6,6,5,120,0,0,1,0,2010
126,127,           Ishant Sharma KKR   ,6,7,2,1,6*,6,17,35.29,0,0,0,0,2010
127,128,           Anil Kumble RCB   ,6,16,5,5,2*,0,11,54.54,0,0,0,0,2010
128,129,           Abhimanyu Mithun RCB   ,5,1,1,0,5,5,4,125,0,0,1,0,2010
129,130,           Swapnil Asnodkar RR   ,5,2,2,0,5,2.5,4,125,0,0,1,0,2010
130,131,           Ramesh Powar PBKS   ,5,7,2,1,3,5,8,62.5,0,0,0,0,2010
131,132,           Amit Uniyal RR   ,4,2,2,1,4*,4,7,57.14,0,0,0,0,2010
132,133,           Reetinder Sodhi PBKS   ,4,3,1,1,4*,0,2,200,0,0,1,0,2010
133,134,           Munaf Patel RR   ,4,4,2,1,4*,4,5,80,0,0,0,0,2010
134,135,           Dirk Nannes DC   ,4,9,2,1,3,4,13,30.76,0,0,0,0,2010
135,136,           Praveen Kumar RCB   ,4,12,4,2,3*,2,8,50,0,0,0,0,2010
136,137,           Arun Karthik CSK   ,3,1,1,1,3*,0,5,60,0,0,0,0,2010
137,138,           Sudeep Tyagi CSK   ,3,6,1,1,3*,0,4,75,0,0,0,0,2010
138,139,           Umesh Yadav DC   ,3,7,1,1,3*,0,4,75,0,0,0,0,2010
139,140,           Pragyan Ojha DEC   ,3,16,6,3,2,1,8,37.5,0,0,0,0,2010
140,141,           Azhar Bilakhia DEC   ,2,1,1,0,2,2,4,50,0,0,0,0,2010
141,142,           KP Appanna RCB   ,2,2,2,1,1*,2,3,66.66,0,0,0,0,2010
142,143,           Rohan Gavaskar KKR   ,2,2,1,0,2,2,8,25,0,0,0,0,2010
143,144,           Manpreet Gony CSK   ,2,3,1,0,2,2,6,33.33,0,0,0,0,2010
144,145,           Dilhara Fernando MI   ,2,5,1,1,2*,0,2,100,0,0,0,0,2010
145,146,           Juan Theron PBKS   ,2,7,2,0,2,1,5,40,0,0,0,0,2010
146,147,           Roelof van der Merwe RCB   ,1,1,1,0,1,1,2,50,0,0,0,0,2010
147,148,           Ajantha Mendis KKR   ,1,2,1,1,1*,0,1,100,0,0,0,0,2010
148,149,           Pankaj Singh RCB   ,1,2,1,0,1,1,2,50,0,0,0,0,2010
149,150,           Shalabh Srivastava PBKS   ,1,8,2,1,1*,1,2,50,0,0,0,0,2010
150,151,           Shane Bond KKR   ,1,8,1,0,1,1,2,50,0,0,0,0,2010
151,152,           Muttiah Muralitharan CSK   ,1,12,1,0,1,1,2,50,0,0,0,0,2010
152,153,           Lasith Malinga MI   ,1,13,2,2,1*,0,1,100,0,0,0,0,2010
