,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,          Matthew Hayden CSK    ,572,12,12,1,89,52,395,144.81,0,5,60,22,2009
1,2,           Adam Gilchrist DEC   ,495,16,16,0,85,30.93,325,152.3,0,3,54,29,2009
2,3,           Suresh Raina CSK   ,434,14,14,0,98,31,308,140.9,0,2,37,21,2009
3,4,           JP Duminy MI   ,372,13,12,3,62,41.33,325,114.46,0,5,26,11,2009
4,5,           Herschelle Gibbs DEC   ,371,14,14,3,69*,33.72,331,112.08,0,4,32,12,2009
5,6,           Brad Hodge KKR   ,365,12,12,3,73,40.55,310,117.74,0,3,34,9,2009
6,7,           Sachin Tendulkar MI   ,364,13,13,2,68,33.09,303,120.13,0,2,39,10,2009
7,8,           Rohit Sharma DEC   ,362,16,16,3,52,27.84,315,114.92,0,1,22,18,2009
8,9,           Jacques Kallis RCB   ,361,15,15,2,69*,27.76,332,108.73,0,3,37,8,2009
9,10,           Yuvraj Singh PBKS   ,340,14,14,2,58*,28.33,294,115.64,0,2,25,16,2009
10,11,           Kumar Sangakkara PBKS   ,332,14,13,2,60,30.18,324,102.46,0,2,29,5,2009
11,12,           MS Dhoni CSK   ,332,14,13,5,58*,41.5,261,127.2,0,2,22,9,2009
12,13,           Ravindra Jadeja RR   ,295,13,13,2,42,26.81,266,110.9,0,0,21,6,2009
13,14,           Brendon McCullum KKR   ,285,13,13,1,84*,23.75,239,119.24,0,2,27,12,2009
14,15,           Ross Taylor RCB   ,280,11,11,2,81*,31.11,208,134.61,0,1,20,15,2009
15,16,           Rahul Dravid RCB   ,271,13,12,0,66,22.58,234,115.81,0,1,28,3,2009
16,17,           Andrew Symonds DEC   ,249,8,8,1,60*,35.57,166,150,0,1,15,11,2009
17,18,           Virat Kohli RCB   ,246,16,13,2,50,22.36,219,112.32,0,1,22,8,2009
18,19,           Yusuf Pathan RR   ,243,13,13,1,62*,20.25,183,132.78,0,1,24,12,2009
19,20,           Tirumalasetti Suman DEC   ,237,12,12,2,41*,23.7,190,124.73,0,0,18,8,2009
20,21,           Sanath Jayasuriya MI   ,221,12,12,0,52,18.41,192,115.1,0,2,23,7,2009
21,22,           Mahela Jayawardena PBKS   ,219,10,10,4,52*,36.5,165,132.72,0,1,17,7,2009
22,23,           Dwayne Bravo MI   ,218,11,10,2,70*,27.25,203,107.38,0,2,15,8,2009
23,24,           Dwayne Smith DEC   ,215,8,8,0,49,26.87,132,162.87,0,0,12,15,2009
24,25,           Graeme Smith RR   ,212,12,12,1,77,19.27,216,98.14,0,1,27,1,2009
25,26,           Irfan Pathan PBKS   ,196,14,12,2,39,19.6,158,124.05,0,0,17,6,2009
26,27,           Abhishek Nayar MI   ,193,13,11,2,35,21.44,152,126.97,0,0,14,7,2009
27,28,           Sourav Ganguly KKR   ,189,13,11,0,46,17.18,207,91.3,0,0,13,6,2009
28,29,           Subramaniam Badrinath CSK   ,177,14,11,2,59*,19.66,164,107.92,0,1,20,4,2009
29,30,           Robin Uthappa RCB   ,175,15,13,2,66*,15.9,170,102.94,0,1,18,3,2009
30,31,           Chris Gayle KKR   ,171,7,7,1,44*,28.5,143,119.58,0,0,15,10,2009
31,32,           Manish Pandey RCB   ,168,5,4,2,114*,84,118,142.37,1,0,17,4,2009
32,33,           Naman Ojha RR   ,168,8,8,1,68,24,144,116.66,0,2,11,11,2009
33,34,           Mark Boucher RCB   ,150,12,9,4,48*,30,116,129.31,0,0,8,6,2009
34,35,           Simon Katich PBKS   ,145,9,9,0,50,16.11,117,123.93,0,1,15,6,2009
35,36,           Ajinkya Rahane MI   ,144,8,7,1,62*,24,123,117.07,0,2,12,3,2009
36,37,           Parthiv Patel CSK   ,142,9,9,0,36,15.77,126,112.69,0,0,19,2,2009
37,38,           Ravi Bopara PBKS   ,138,5,5,0,84,27.6,119,115.96,0,1,8,7,2009
38,39,           Karan Goel PBKS   ,124,9,9,1,38,15.5,133,93.23,0,0,9,4,2009
39,40,           Venugopal Rao DEC   ,124,16,13,2,32,11.27,114,108.77,0,0,6,3,2009
40,41,           Roelof van der Merwe RCB   ,122,10,8,0,35,15.25,98,124.48,0,0,8,8,2009
41,42,           Sunny Sohal PBKS   ,115,8,8,0,43,14.37,93,123.65,0,0,9,8,2009
42,43,           Shane Warne RR   ,108,13,11,3,34*,13.5,116,93.1,0,0,6,4,2009
43,44,           Rob Quiney RR   ,103,7,7,0,51,14.71,102,100.98,0,1,12,3,2009
44,45,           David Hussey KKR   ,98,4,4,0,43,24.5,59,166.1,0,0,7,6,2009
45,46,           Swapnil Asnodkar RR   ,98,8,8,0,44,12.25,93,105.37,0,0,11,4,2009
46,47,           Albie Morkel CSK   ,97,12,10,6,21*,24.25,70,138.57,0,0,8,4,2009
47,48,           Kevin Pietersen RCB   ,93,6,6,0,37,15.5,85,109.41,0,0,8,2,2009
48,49,           Jacob Oram CSK   ,88,11,8,2,41*,14.66,93,94.62,0,0,5,4,2009
49,50,           Harbhajan Singh MI   ,84,13,10,2,20,10.5,53,158.49,0,0,6,5,2009
50,51,           Laxmi Ratan Shukla KKR   ,83,9,6,1,48*,16.6,85,97.64,0,0,5,3,2009
51,52,           Lee Carseldine RR   ,81,5,5,1,39,20.25,68,119.11,0,0,11,0,2009
52,53,           Abhishek Raut RR   ,78,9,7,3,36*,19.5,61,127.86,0,0,5,3,2009
53,54,           Wriddhiman Saha KKR   ,72,8,7,4,25*,24,41,175.6,0,0,3,4,2009
54,55,           Azhar Bilakhia DEC   ,67,6,6,2,22,16.75,81,82.71,0,0,5,0,2009
55,56,           Ajit Agarkar KKR   ,66,11,7,5,39,33,57,115.78,0,0,3,3,2009
56,57,           Dwaraka Ravi Teja DEC   ,65,9,6,3,27,21.66,70,92.85,0,0,7,0,2009
57,58,           Praveen Kumar RCB   ,65,13,8,3,14*,13,46,141.3,0,0,1,6,2009
58,59,           Andrew Flintoff CSK   ,62,3,3,1,24,31,53,116.98,0,0,5,2,2009
59,60,           Murali Vijay CSK   ,60,4,4,0,31,15,67,89.55,0,0,4,2,2009
60,61,           Jesse Ryder RCB   ,56,5,5,0,32,11.2,49,114.28,0,0,9,0,2009
61,62,           Shreevats Goswami RCB   ,53,2,2,0,43,26.5,60,88.33,0,0,6,0,2009
62,63,           Pinal Shah MI   ,53,9,5,2,29,17.66,51,103.92,0,0,4,2,2009
63,64,           Johan Botha RR   ,47,3,3,1,37,23.5,40,117.5,0,0,5,0,2009
64,65,           Yashpal Singh KKR   ,47,8,4,0,20,11.75,66,71.21,0,0,5,0,2009
65,66,           Vinay Kumar RCB   ,47,11,8,3,12,9.4,44,106.81,0,0,4,1,2009
66,67,           George Bailey CSK   ,45,3,2,0,30,22.5,39,115.38,0,0,7,0,2009
67,68,           Luke Pomersbach PBKS   ,41,4,4,0,26,10.25,49,83.67,0,0,3,1,2009
68,69,           Shikhar Dhawan MI   ,40,5,4,0,22,10,45,88.88,0,0,3,0,2009
69,70,           Dimitri Mascarenhas RR   ,39,5,4,0,27,9.75,39,100,0,0,4,0,2009
70,71,           Moises Henriques KKR   ,38,4,3,1,30*,19,40,95,0,0,2,1,2009
71,72,           Munaf Patel RR   ,33,11,5,2,23*,11,26,126.92,0,0,5,0,2009
72,73,           Piyush Chawla PBKS   ,31,14,10,5,8*,6.2,36,86.11,0,0,3,0,2009
73,74,           Chaminda Vaas DEC   ,30,2,2,1,20,30,21,142.85,0,0,1,1,2009
74,75,           Wilkin Mota PBKS   ,30,8,6,1,12,6,48,62.5,0,0,0,0,2009
75,76,           Brett Lee PBKS   ,28,5,4,2,14*,14,34,82.35,0,0,2,1,2009
76,77,           Amit Mishra DC   ,26,11,5,2,13*,8.66,20,130,0,0,2,2,2009
77,78,           Ramesh Powar PBKS   ,23,9,4,3,10,23,22,104.54,0,0,2,0,2009
78,79,           Ryan Harris DEC   ,21,8,5,4,9*,21,18,116.66,0,0,0,0,2009
79,80,           Murali Kartik KKR   ,21,10,2,2,11*,0,20,105,0,0,0,0,2009
80,81,           Joginder Sharma CSK   ,20,4,2,1,16*,20,18,111.11,0,0,0,1,2009
81,82,           Shadab Jakati CSK   ,20,9,2,1,13,20,15,133.33,0,0,3,0,2009
82,83,           Rajesh Bishnoi RCB   ,19,3,3,0,18,6.33,17,111.76,0,0,1,2,2009
83,84,           VVS Laxman DEC   ,19,5,5,0,10,3.8,33,57.57,0,0,1,1,2009
84,85,           Niraj Patel RR   ,18,4,2,0,14,9,38,47.36,0,0,1,0,2009
85,86,           Balachandra Akhil RCB   ,17,6,3,1,9,8.5,15,113.33,0,0,1,1,2009
86,87,           Angelo Mathews KKR   ,16,1,1,0,16,16,13,123.07,0,0,2,0,2009
87,88,           Mahesh Rawat RR   ,16,5,3,3,8*,0,19,84.21,0,0,1,0,2009
88,89,           Ishant Sharma KKR   ,16,11,3,1,9,8,13,123.07,0,0,1,1,2009
89,90,           Anil Kumble RCB   ,16,16,7,6,7*,16,19,84.21,0,0,2,0,2009
90,91,           Graham Napier MI   ,15,1,1,0,15,15,16,93.75,0,0,1,0,2009
91,92,           Wasim Jaffer RCB   ,15,2,2,0,8,7.5,17,88.23,0,0,2,0,2009
92,93,           Scott Styris DEC   ,14,2,1,0,14,14,8,175,0,0,0,1,2009
93,94,           Saurabh Tiwary MI   ,13,4,3,2,6*,13,12,108.33,0,0,0,0,2009
94,95,           Manpreet Gony CSK   ,13,7,3,1,7,6.5,7,185.71,0,0,0,2,2009
95,96,           Rohan Raje MI   ,12,4,2,1,11*,12,9,133.33,0,0,0,1,2009
96,97,           Aakash Chopra KKR   ,11,2,1,0,11,11,19,57.89,0,0,2,0,2009
97,98,           Tyron Henderson RR   ,11,2,2,0,11,5.5,16,68.75,0,0,0,1,2009
98,99,           Dillon du Preez RCB   ,10,2,1,0,10,10,13,76.92,0,0,0,0,2009
99,100,           Shane Harwood RR   ,9,3,2,2,6*,0,14,64.28,0,0,0,0,2009
100,101,           Siddharth Trivedi RR   ,9,7,3,1,6*,4.5,18,50,0,0,0,0,2009
101,102,           Dhawal Kulkarni MI   ,9,8,4,2,7*,4.5,17,52.94,0,0,0,0,2009
102,103,           Morne Morkel RR   ,8,2,1,0,8,8,8,100,0,0,1,0,2009
103,104,           Ravichandran Ashwin CSK   ,8,2,1,0,8,8,15,53.33,0,0,1,0,2009
104,105,           Zaheer Khan MI   ,8,6,4,3,4*,8,11,72.72,0,0,0,0,2009
105,106,           Muttiah Muralitharan CSK   ,8,13,4,2,4,4,8,100,0,0,1,0,2009
106,107,           RP Singh DEC   ,8,16,6,2,4,2,17,47.05,0,0,0,0,2009
107,108,           Arindam Ghosh KKR   ,7,2,2,0,7,3.5,8,87.5,0,0,1,0,2009
108,109,           Siddharth Chitnis RR   ,6,1,1,0,6,6,8,75,0,0,1,0,2009
109,110,           Paul Valthaty RR   ,6,2,2,0,5,3,12,50,0,0,1,0,2009
110,111,           Shoaib Shaikh KKR   ,6,2,1,0,6,6,7,85.71,0,0,1,0,2009
111,112,           Shanthakumaran Sreesanth PBKS   ,5,7,2,2,4*,0,18,27.77,0,0,1,0,2009
112,113,           Lakshmipathy Balaji CSK   ,4,13,4,1,2*,1.33,10,40,0,0,0,0,2009
113,114,           Kamran Khan RR   ,3,5,1,0,3,3,5,60,0,0,0,0,2009
