,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
88,89,           Praveen Kumar PBKS   ,47,15,7,1,24,7.83,39,120.51,0,0,3,3,2013
89,90,           Albie Morkel CSK   ,46,8,3,0,23,15.33,37,124.32,0,0,2,3,2013
90,91,           Manpreet Gony PBKS   ,45,8,5,1,42,11.25,25,180,0,0,4,3,2013
91,92,           Chidhambaram Gautam DC   ,44,3,3,1,30,22,34,129.41,0,0,4,1,2013
92,93,           Johan Botha DC   ,43,6,6,0,23,7.16,52,82.69,0,0,5,1,2013
93,94,           Arun Karthik RCB   ,41,12,5,2,19*,13.66,38,107.89,0,0,3,1,2013
94,95,           Kevon Cooper RR   ,39,14,5,1,26,9.75,22,177.27,0,0,4,2,2013
95,96,           Mitchell Johnson MI   ,39,17,6,2,11,9.75,36,108.33,0,0,2,2,2013
96,97,           Ravi Rampaul RCB   ,38,10,6,2,23*,9.5,37,102.7,0,0,3,1,2013
97,98,           Umesh Yadav DC   ,38,16,8,7,12*,38,38,100,0,0,3,1,2013
98,99,           Glenn Maxwell MI   ,36,3,3,1,23,18,27,133.33,0,0,1,4,2013
99,100,           Ravichandran Ashwin CSK   ,35,18,5,1,11*,8.75,49,71.42,0,0,4,0,2013
100,101,           Kane Richardson PWI   ,34,3,2,0,26,17,36,94.44,0,0,2,1,2013
101,102,           Owais Shah RR   ,25,2,2,0,24,12.5,23,108.69,0,0,2,0,2013
102,103,           Sumit Narwal KKR   ,23,2,1,0,23,23,15,153.33,0,0,4,0,2013
103,104,           Jeevan Mendis DC   ,23,3,3,0,12,7.66,27,85.18,0,0,0,0,2013
104,105,           Roelof van der Merwe DC   ,22,3,2,0,14,11,25,88,0,0,2,0,2013
105,106,           Brett Lee KKR   ,21,3,2,1,16*,21,12,175,0,0,1,2,2013
106,107,           Rishi Dhawan MI   ,21,6,4,1,14,7,21,100,0,0,3,0,2013
107,108,           Sunil Narine KKR   ,21,16,6,3,13,7,19,110.52,0,0,0,2,2013
108,109,           KL Rahul RCB   ,20,5,2,0,12,10,16,125,0,0,4,0,2013
109,110,           Abhinav Mukund RCB   ,19,1,1,0,19,19,21,90.47,0,0,1,0,2013
110,111,           Bharat Chipli DC   ,16,1,1,0,16,16,18,88.88,0,0,1,1,2013
111,112,           Dwaraka Ravi Teja SRH   ,14,2,2,1,10,14,17,82.35,0,0,0,0,2013
112,113,           Kushal Janith Perera RR   ,14,2,2,0,14,7,13,107.69,0,0,3,0,2013
113,114,           Shahbaz Nadeem DC   ,14,12,6,1,6,2.8,27,51.85,0,0,1,0,2013
114,115,           Chris Morris CSK   ,14,16,6,4,7*,7,16,87.5,0,0,0,0,2013
115,116,           Mithun Manhas PWI   ,13,3,2,2,11*,0,17,76.47,0,0,1,0,2013
116,117,           Ajit Agarkar DC   ,12,4,2,1,9*,12,16,75,0,0,0,0,2013
117,118,           Andre Russell DC   ,11,3,2,0,7,5.5,14,78.57,0,0,0,0,2013
118,119,           Rahul Sharma PWI   ,11,11,6,2,10*,2.75,17,64.7,0,0,1,0,2013
119,120,           Thalaivan Sargunam SRH   ,10,1,1,0,10,10,17,58.82,0,0,0,0,2013
120,121,           Syed Mohammad RCB   ,10,4,2,0,9,5,13,76.92,0,0,1,0,2013
121,122,           Sachithra Senanayake KKR   ,10,8,4,3,7*,10,17,58.82,0,0,0,0,2013
122,123,           Nathan Coulter-Nile MI   ,9,1,1,0,9,9,6,150,0,0,0,1,2013
123,124,           Karun Nair RCB   ,9,2,2,0,9,4.5,12,75,0,0,0,0,2013
124,125,           Naman Ojha DC   ,9,2,2,1,9,9,10,90,0,0,1,0,2013
125,126,           Ashok Dinda PWI   ,9,13,5,3,6*,4.5,11,81.81,0,0,1,0,2013
126,127,           Lakshmipathy Balaji KKR   ,9,13,3,2,9*,9,10,90,0,0,1,0,2013
