,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,      Shubman Gill GT        ,890,17,17,2,129,59.33,564,157.8,3,4,85,33,2023
1,2,           Faf Du Plessis RCB   ,730,14,14,1,84,56.15,475,153.68,0,8,60,36,2023
2,3,           Devon Conway CSK   ,672,16,15,2,92*,51.69,481,139.7,0,6,77,18,2023
3,4,           Virat Kohli RCB   ,639,14,14,2,101*,53.25,457,139.82,2,6,65,16,2023
4,5,           Yashasvi Jaiswal RR   ,625,14,14,1,124,48.08,382,163.61,1,5,82,26,2023
5,6,           Suryakumar Yadav MI   ,605,16,16,2,103*,43.21,334,181.13,1,5,65,28,2023
6,7,           Ruturaj Gaikwad CSK   ,590,16,15,1,92,42.14,400,147.5,0,4,46,30,2023
7,8,           David Warner DC   ,516,14,14,0,86,36.86,392,131.63,0,6,69,10,2023
8,9,           Rinku Singh KKR   ,474,14,14,6,67*,59.25,317,149.52,0,4,31,29,2023
9,10,           Ishan Kishan MI   ,454,15,15,0,75,30.27,318,142.76,0,3,54,18,2023
10,11,           Cameron Green MI   ,452,16,16,7,100*,50.22,282,160.28,1,2,40,22,2023
11,12,           Heinrich Klaasen SRH   ,448,12,11,2,104,49.78,253,177.07,1,2,32,25,2023
12,13,           Shivam Dube CSK   ,418,16,14,3,52,38,264,158.33,0,3,12,35,2023
13,14,           Nitish Rana KKR   ,413,14,14,1,75,31.77,293,140.95,0,3,39,20,2023
14,15,           Marcus Stoinis LSG   ,408,15,15,2,89*,31.38,272,150,0,3,28,27,2023
15,16,           Venkatesh Iyer KKR   ,404,14,14,0,104,28.86,277,145.84,1,2,32,21,2023
16,17,           Glenn Maxwell RCB   ,400,14,14,2,77,33.33,218,183.48,0,5,29,31,2023
17,18,           Jos Buttler RR   ,392,14,14,0,95,28,282,139,0,4,42,14,2023
18,19,           Kyle Mayers LSG   ,379,13,13,0,73,29.15,263,144.1,0,4,38,22,2023
19,20,           Shikhar Dhawan PBKS   ,373,11,11,2,99*,41.44,261,142.91,0,3,49,12,2023
20,21,           Wriddhiman Saha GT   ,371,17,17,1,81,23.19,287,129.26,0,2,47,8,2023
21,22,           Sanju Samson RR   ,362,14,14,2,66*,30.17,236,153.38,0,3,25,24,2023
22,23,           Sai Sudharsan GT   ,362,8,8,1,96,51.71,256,141.4,0,3,33,12,2023
23,24,           Nicholas Pooran LSG   ,358,15,15,3,62,29.83,207,172.94,0,2,26,26,2023
24,25,           Simran Singh PBKS   ,358,14,14,0,103,25.57,238,150.42,1,1,38,19,2023
25,26,           Hardik Pandya GT   ,346,16,15,4,66,31.45,253,136.75,0,2,26,15,2023
26,27,           Tilak Varma MI   ,343,11,11,3,84*,42.88,209,164.11,0,1,26,23,2023
27,28,           Rohit Sharma MI   ,332,16,16,0,65,20.75,250,132.8,0,2,35,17,2023
28,29,           Ajinkya Rahane CSK   ,326,14,11,1,71*,32.6,189,172.48,0,2,24,16,2023
29,30,           Jitesh Sharma PBKS   ,309,14,14,1,49*,23.77,198,156.06,0,0,22,21,2023
30,31,           Vijay Shankar GT   ,301,14,10,2,63*,37.63,188,160.1,0,3,27,15,2023
31,32,           Shimron Hetmyer RR   ,300,14,13,5,56*,37.5,197,152.28,0,1,12,23,2023
